Wavelength (nm)	Intensity	Corrected
Unusable	47598
Dark	46983
Dark	47010
Dark	46998
Bevel	46823
Bevel	47244
Bevel	47247
Bevel	47415
Bevel	47476
Bevel	47537
199.28	47666	47654.0
199.84	47414	47401.0
200.39	47484	47471.2
200.95	47427	47414.0
201.50	47250	47236.4
202.06	47188	47174.2
202.61	47146	47132.0
203.16	47281	47267.5
203.72	47503	47490.3
204.27	47418	47405.0
204.83	47508	47495.3
205.38	47759	47747.4
205.93	47662	47650.0
206.49	47604	47591.7
207.04	47487	47474.2
207.60	47360	47346.7
208.15	47223	47209.3
208.70	47361	47347.8
209.25	47374	47360.8
209.81	47453	47440.1
210.36	47470	47457.2
210.91	47692	47680.1
211.47	47541	47528.5
212.02	47676	47664.1
212.57	47536	47523.4
213.12	47618	47605.8
213.67	47417	47404.0
214.23	47417	47404.0
214.78	47263	47249.4
215.33	47251	47237.4
215.88	47512	47499.3
216.43	47225	47211.3
216.98	47333	47319.6
217.53	47661	47649.0
218.09	47408	47394.9
218.64	47508	47495.3
219.19	47618	47605.8
219.74	47693	47681.1
220.29	47440	47427.1
220.84	47360	47346.7
221.39	47456	47443.1
221.94	47263	47249.4
222.49	47279	47265.5
223.04	47527	47514.4
223.59	47589	47576.7
224.14	47733	47721.3
224.69	47763	47751.5
225.24	47501	47488.3
225.79	47520	47507.4
226.34	47552	47539.5
226.89	47352	47338.7
227.43	47458	47445.1
227.98	47457	47444.1
228.53	47356	47342.7
229.08	47488	47475.2
229.63	47410	47396.9
230.18	47705	47693.2
230.73	47680	47668.1
231.27	47673	47661.0
231.82	47707	47695.2
232.37	47474	47461.2
232.92	47262	47248.4
233.46	47417	47404.0
234.01	47322	47308.6
234.56	47312	47298.6
235.11	47430	47417.0
235.65	47582	47569.6
236.20	47524	47511.4
236.75	47671	47659.0
237.29	47650	47637.9
237.84	47700	47688.2
238.39	47808	47796.7
238.93	47566	47553.6
239.48	47504	47491.3
240.03	47222	47208.3
240.57	47352	47338.7
241.12	47314	47300.6
241.66	47449	47436.1
242.21	47359	47345.7
242.75	47597	47584.7
243.30	47452	47439.1
243.85	47654	47642.0
244.39	47634	47621.9
244.94	47591	47578.7
245.48	47609	47596.8
246.03	47342	47328.7
246.57	47391	47377.9
247.11	47505	47492.3
247.66	47330	47316.6
248.20	47393	47379.9
248.75	47549	47536.5
249.29	47662	47650.0
249.84	47825	47813.8
250.38	47529	47516.4
250.92	47641	47628.9
251.47	47772	47760.5
252.01	47358	47344.7
252.55	47412	47398.9
253.10	47433	47420.0
253.64	47523	47510.4
254.18	47461	47448.1
254.73	47459	47446.1
255.27	47471	47458.2
255.81	47548	47535.5
256.35	47688	47676.1
256.90	47793	47781.6
257.44	47631	47618.9
257.98	47633	47620.9
258.52	47419	47406.0
259.06	47470	47457.2
259.61	47272	47258.4
260.15	47312	47298.6
260.69	47290	47276.5
