# 20200701_095915_Spectrum_A100-I6.csv
Wavelength (nm)	Intensity	Corrected
Unusable	2244
Dark	1942
Dark	1970
Dark	1966
Bevel	2000
Bevel	1995
Bevel	1996
Bevel	2000
Bevel	1997
Bevel	2003
346.68	2000	2000.0
347.04	2004	2004.0
347.40	2003	2003.0
347.76	2006	2006.0
348.12	2002	2002.0
348.48	2000	2000.0
348.84	2005	2005.0
349.20	2007	2007.0
349.56	2004	2004.0
349.92	2006	2006.0
350.28	2007	2007.0
350.64	2007	2007.0
351.00	2008	2008.0
351.36	2011	2011.0
351.72	2009	2009.0
352.08	2011	2011.0
352.44	2010	2010.0
352.80	2011	2011.0
353.16	2012	2012.0
353.52	2014	2013.9
353.88	2017	2016.9
354.24	2015	2014.9
354.59	2018	2017.9
354.95	2020	2019.9
355.31	2019	2018.9
355.67	2019	2018.9
356.03	2024	2023.9
356.39	2019	2018.9
356.75	2023	2022.9
357.11	2021	2020.9
357.46	2021	2020.9
357.82	2027	2026.9
358.18	2028	2027.9
358.54	2026	2025.9
358.90	2029	2028.9
359.25	2033	2032.9
359.61	2029	2028.9
359.97	2036	2035.9
360.33	2038	2037.9
360.68	2041	2040.9
361.04	2039	2038.9
361.40	2042	2041.9
361.76	2047	2046.8
362.11	2056	2055.8
362.47	2067	2066.8
362.83	2078	2077.7
363.18	2118	2117.6
363.54	2239	2238.2
363.90	2964	2961.3
364.25	4696	4691.1
364.61	5942	5937.5
364.97	9072	9074.9
365.32	10938	10948.7
365.68	5713	5708.3
366.04	3405	3401.4
366.39	3222	3218.7
366.75	2860	2857.5
367.10	2205	2204.3
367.46	2105	2104.6
367.81	2088	2087.7
368.17	2081	2080.7
368.53	2070	2069.8
368.88	2063	2062.8
369.24	2062	2061.8
369.59	2060	2059.8
369.95	2056	2055.8
370.30	2059	2058.8
370.66	2061	2060.8
371.01	2058	2057.8
371.37	2054	2053.8
371.72	2051	2050.8
372.08	2050	2049.8
372.43	2060	2059.8
372.79	2052	2051.8
373.14	2056	2055.8
373.49	2056	2055.8
373.85	2054	2053.8
374.20	2053	2052.8
374.56	2058	2057.8
374.91	2050	2049.8
375.26	2063	2062.8
375.62	2056	2055.8
375.97	2056	2055.8
376.33	2059	2058.8
376.68	2058	2057.8
377.03	2056	2055.8
377.39	2048	2047.8
377.74	2050	2049.8
378.09	2047	2046.8
378.45	2045	2044.8
378.80	2044	2043.8
379.15	2046	2045.8
379.50	2051	2050.8
379.86	2048	2047.8
380.21	2046	2045.8
380.56	2051	2050.8
380.91	2048	2047.8
381.27	2045	2044.8
381.62	2046	2045.8
381.97	2047	2046.8
382.32	2047	2046.8
382.68	2047	2046.8
383.03	2058	2057.8
383.38	2058	2057.8
383.73	2053	2052.8
384.08	2046	2045.8
384.43	2048	2047.8
384.79	2047	2046.8
385.14	2048	2047.8
385.49	2041	2040.9
385.84	2049	2048.8
386.19	2044	2043.8
386.54	2049	2048.8
386.89	2048	2047.8
387.24	2051	2050.8
387.60	2047	2046.8
387.95	2050	2049.8
388.30	2049	2048.8
388.65	2049	2048.8
389.00	2050	2049.8
389.35	2049	2048.8
389.70	2054	2053.8
390.05	2058	2057.8
390.40	2062	2061.8
390.75	2058	2057.8
391.10	2058	2057.8
391.45	2044	2043.8
391.80	2049	2048.8
392.15	2052	2051.8
392.50	2052	2051.8
392.85	2051	2050.8
393.20	2053	2052.8
393.55	2047	2046.8
393.90	2057	2056.8
394.24	2059	2058.8
394.59	2061	2060.8
394.94	2057	2056.8
395.29	2054	2053.8
395.64	2059	2058.8
395.99	2054	2053.8
396.34	2053	2052.8
396.69	2057	2056.8
397.04	2053	2052.8
397.38	2059	2058.8
397.73	2061	2060.8
398.08	2065	2064.8
398.43	2061	2060.8
398.78	2064	2063.8
399.12	2064	2063.8
399.47	2061	2060.8
399.82	2061	2060.8
400.17	2063	2062.8
400.52	2063	2062.8
400.86	2075	2074.7
401.21	2076	2075.7
401.56	2086	2085.7
401.90	2093	2092.7
402.25	2116	2115.6
402.60	2171	2170.4
402.95	2268	2267.1
403.29	2501	2499.4
403.64	3372	3368.4
403.99	6691	6687.5
404.33	11672	11686.3
