# 20200701_101259_Spectrum_A100-I6.csv example_data/hyperchromator_600nm.dat
Wavelength (nm)	Intensity	Corrected
Unusable	2251
Dark	1949
Dark	1978
Dark	1973
Bevel	2007
Bevel	2002
Bevel	1998
Bevel	2000
Bevel	1997
Bevel	2002
346.68	2000	2000.0
347.04	2003	2003.0
347.40	2002	2002.0
347.76	2004	2004.0
348.12	1998	1998.0
348.48	1999	1999.0
348.84	2003	2003.0
349.20	2005	2005.0
349.56	2001	2001.0
349.92	2003	2003.0
350.28	2004	2004.0
350.64	2005	2005.0
351.00	2005	2005.0
351.36	2007	2007.0
351.72	2005	2005.0
352.08	2008	2008.0
352.44	2006	2006.0
352.80	2007	2007.0
353.16	2009	2009.0
353.52	2009	2009.0
353.88	2013	2012.9
354.24	2009	2009.0
354.59	2010	2010.0
354.95	2011	2011.0
355.31	2011	2011.0
355.67	2010	2010.0
356.03	2013	2012.9
356.39	2007	2007.0
356.75	2010	2010.0
357.11	2009	2009.0
357.46	2009	2009.0
357.82	2012	2012.0
358.18	2014	2013.9
358.54	2010	2010.0
358.90	2012	2012.0
359.25	2015	2014.9
359.61	2010	2010.0
359.97	2016	2015.9
360.33	2013	2012.9
360.68	2011	2011.0
361.04	2010	2010.0
361.40	2011	2011.0
361.76	2012	2012.0
362.11	2009	2009.0
362.47	2012	2012.0
362.83	2009	2009.0
363.18	2015	2014.9
363.54	2010	2010.0
363.90	2015	2014.9
364.25	2013	2012.9
364.61	2015	2014.9
364.97	2016	2015.9
365.32	2013	2012.9
365.68	2010	2010.0
366.04	2012	2012.0
366.39	2008	2008.0
366.75	2011	2011.0
367.10	2011	2011.0
367.46	2008	2008.0
367.81	2009	2009.0
368.17	2012	2012.0
368.53	2009	2009.0
368.88	2009	2009.0
369.24	2012	2012.0
369.59	2010	2010.0
369.95	2010	2010.0
370.30	2011	2011.0
370.66	2014	2013.9
371.01	2011	2011.0
371.37	2010	2010.0
371.72	2011	2011.0
372.08	2007	2007.0
372.43	2017	2016.9
372.79	2009	2009.0
373.14	2012	2012.0
373.49	2015	2014.9
373.85	2014	2013.9
374.20	2012	2012.0
374.56	2015	2014.9
374.91	2007	2007.0
375.26	2019	2018.9
375.62	2012	2012.0
375.97	2013	2012.9
376.33	2012	2012.0
376.68	2006	2006.0
377.03	2013	2012.9
377.39	2010	2010.0
377.74	2014	2013.9
378.09	2013	2012.9
378.45	2010	2010.0
378.80	2010	2010.0
379.15	2010	2010.0
379.50	2015	2014.9
379.86	2011	2011.0
380.21	2010	2010.0
380.56	2014	2013.9
380.91	2011	2011.0
381.27	2009	2009.0
381.62	2010	2010.0
381.97	2010	2010.0
382.32	2011	2011.0
382.68	2008	2008.0
383.03	2016	2015.9
383.38	2019	2018.9
383.73	2017	2016.9
384.08	2013	2012.9
384.43	2013	2012.9
384.79	2012	2012.0
385.14	2015	2014.9
385.49	2007	2007.0
385.84	2017	2016.9
386.19	2011	2011.0
386.54	2017	2016.9
386.89	2015	2014.9
387.24	2018	2017.9
387.60	2012	2012.0
387.95	2014	2013.9
